PeriodFrom,PeriodTo,CarbonIntensity
2024-06-04T08:00Z,2024-06-04T08:30Z,122
2024-06-04T08:30Z,2024-06-04T09:00Z,125
2024-06-04T09:00Z,2024-06-04T09:30Z,123
2024-06-04T09:30Z,2024-06-04T10:00Z,103
2024-06-04T10:00Z,2024-06-04T10:30Z,97
2024-06-04T10:30Z,2024-06-04T11:00Z,95
2024-06-04T11:00Z,2024-06-04T11:30Z,89
2024-06-04T11:30Z,2024-06-04T12:00Z,80
2024-06-04T12:00Z,2024-06-04T12:30Z,28
2024-06-04T12:30Z,2024-06-04T13:00Z,60
2024-06-04T13:00Z,2024-06-04T13:30Z,68
2024-06-04T13:30Z,2024-06-04T14:00Z,71
2024-06-04T14:00Z,2024-06-04T14:30Z,76
2024-06-04T14:30Z,2024-06-04T15:00Z,78
2024-06-04T15:00Z,2024-06-04T15:30Z,85
2024-06-04T15:30Z,2024-06-04T16:00Z,88
2024-06-04T16:00Z,2024-06-04T16:30Z,100
2024-06-04T16:30Z,2024-06-04T17:00Z,111
2024-06-04T17:00Z,2024-06-04T17:30Z,118
2024-06-04T17:30Z,2024-06-04T18:00Z,113
2024-06-04T18:00Z,2024-06-04T18:30Z,125
2024-06-04T18:30Z,2024-06-04T19:00Z,124
2024-06-04T19:00Z,2024-06-04T19:30Z,122
2024-06-04T19:30Z,2024-06-04T20:00Z,124
2024-06-04T20:00Z,2024-06-04T20:30Z,126
2024-06-04T20:30Z,2024-06-04T21:00Z,121
2024-06-04T21:00Z,2024-06-04T21:30Z,85
2024-06-04T21:30Z,2024-06-04T22:00Z,75
2024-06-04T22:00Z,2024-06-04T22:30Z,74
2024-06-04T22:30Z,2024-06-04T23:00Z,89
2024-06-04T23:00Z,2024-06-04T23:30Z,119
2024-06-04T23:30Z,2024-06-05T00:00Z,112
2024-06-05T00:00Z,2024-06-05T00:30Z,101
2024-06-05T00:30Z,2024-06-05T01:00Z,96
2024-06-05T01:00Z,2024-06-05T01:30Z,99
2024-06-05T01:30Z,2024-06-05T02:00Z,104
2024-06-05T02:00Z,2024-06-05T02:30Z,108
2024-06-05T02:30Z,2024-06-05T03:00Z,109
2024-06-05T03:00Z,2024-06-05T03:30Z,115
2024-06-05T03:30Z,2024-06-05T04:00Z,116
2024-06-05T04:00Z,2024-06-05T04:30Z,121
2024-06-05T04:30Z,2024-06-05T05:00Z,114
2024-06-05T05:00Z,2024-06-05T05:30Z,116
2024-06-05T05:30Z,2024-06-05T06:00Z,111
2024-06-05T06:00Z,2024-06-05T06:30Z,105
2024-06-05T06:30Z,2024-06-05T07:00Z,95
2024-06-05T07:00Z,2024-06-05T07:30Z,86
2024-06-05T07:30Z,2024-06-05T08:00Z,90
2024-06-05T08:00Z,2024-06-05T08:30Z,82
2024-06-05T08:30Z,2024-06-05T09:00Z,64
2024-06-05T09:00Z,2024-06-05T09:30Z,54
2024-06-05T09:30Z,2024-06-05T10:00Z,57
2024-06-05T10:00Z,2024-06-05T10:30Z,57
2024-06-05T10:30Z,2024-06-05T11:00Z,56
2024-06-05T11:00Z,2024-06-05T11:30Z,49
2024-06-05T11:30Z,2024-06-05T12:00Z,54
2024-06-05T12:00Z,2024-06-05T12:30Z,48
2024-06-05T12:30Z,2024-06-05T13:00Z,52
2024-06-05T13:00Z,2024-06-05T13:30Z,53
2024-06-05T13:30Z,2024-06-05T14:00Z,60
2024-06-05T14:00Z,2024-06-05T14:30Z,74
2024-06-05T14:30Z,2024-06-05T15:00Z,71
2024-06-05T15:00Z,2024-06-05T15:30Z,75
2024-06-05T15:30Z,2024-06-05T16:00Z,86
2024-06-05T16:00Z,2024-06-05T16:30Z,100
2024-06-05T16:30Z,2024-06-05T17:00Z,137
2024-06-05T17:00Z,2024-06-05T17:30Z,157
2024-06-05T17:30Z,2024-06-05T18:00Z,174
2024-06-05T18:00Z,2024-06-05T18:30Z,187
2024-06-05T18:30Z,2024-06-05T19:00Z,199
2024-06-05T19:00Z,2024-06-05T19:30Z,206
2024-06-05T19:30Z,2024-06-05T20:00Z,204
2024-06-05T20:00Z,2024-06-05T20:30Z,201
2024-06-05T20:30Z,2024-06-05T21:00Z,196
2024-06-05T21:00Z,2024-06-05T21:30Z,182
2024-06-05T21:30Z,2024-06-05T22:00Z,157
2024-06-05T22:00Z,2024-06-05T22:30Z,140
2024-06-05T22:30Z,2024-06-05T23:00Z,138
2024-06-05T23:00Z,2024-06-05T23:30Z,133
2024-06-05T23:30Z,2024-06-06T00:00Z,111
2024-06-06T00:00Z,2024-06-06T00:30Z,117
2024-06-06T00:30Z,2024-06-06T01:00Z,117
2024-06-06T01:00Z,2024-06-06T01:30Z,121
2024-06-06T01:30Z,2024-06-06T02:00Z,124
2024-06-06T02:00Z,2024-06-06T02:30Z,132
2024-06-06T02:30Z,2024-06-06T03:00Z,130
2024-06-06T03:00Z,2024-06-06T03:30Z,131
2024-06-06T03:30Z,2024-06-06T04:00Z,141
2024-06-06T04:00Z,2024-06-06T04:30Z,158
2024-06-06T04:30Z,2024-06-06T05:00Z,177
2024-06-06T05:00Z,2024-06-06T05:30Z,198
2024-06-06T05:30Z,2024-06-06T06:00Z,209
2024-06-06T06:00Z,2024-06-06T06:30Z,199
2024-06-06T06:30Z,2024-06-06T07:00Z,207
2024-06-06T07:00Z,2024-06-06T07:30Z,196
2024-06-06T07:30Z,2024-06-06T08:00Z,170
2024-06-06T08:00Z,2024-06-06T08:30Z,156
2024-06-06T08:30Z,2024-06-06T09:00Z,136
2024-06-06T09:00Z,2024-06-06T09:30Z,122
2024-06-06T09:30Z,2024-06-06T10:00Z,113
2024-06-06T10:00Z,2024-06-06T10:30Z,109
2024-06-06T10:30Z,2024-06-06T11:00Z,102
2024-06-06T11:00Z,2024-06-06T11:30Z,107
2024-06-06T11:30Z,2024-06-06T12:00Z,98
2024-06-06T12:00Z,2024-06-06T12:30Z,96
2024-06-06T12:30Z,2024-06-06T13:00Z,91
2024-06-06T13:00Z,2024-06-06T13:30Z,94
2024-06-06T13:30Z,2024-06-06T14:00Z,97
2024-06-06T14:00Z,2024-06-06T14:30Z,112
2024-06-06T14:30Z,2024-06-06T15:00Z,119
2024-06-06T15:00Z,2024-06-06T15:30Z,130
2024-06-06T15:30Z,2024-06-06T16:00Z,202
2024-06-06T16:00Z,2024-06-06T16:30Z,220
2024-06-06T16:30Z,2024-06-06T17:00Z,247
2024-06-06T17:00Z,2024-06-06T17:30Z,260
2024-06-06T17:30Z,2024-06-06T18:00Z,273
2024-06-06T18:00Z,2024-06-06T18:30Z,275
2024-06-06T18:30Z,2024-06-06T19:00Z,262
2024-06-06T19:00Z,2024-06-06T19:30Z,263
2024-06-06T19:30Z,2024-06-06T20:00Z,246
2024-06-06T20:00Z,2024-06-06T20:30Z,231
2024-06-06T20:30Z,2024-06-06T21:00Z,234
2024-06-06T21:00Z,2024-06-06T21:30Z,234
