unix_timestamp,Agile Import price (p/kWh),Agile Export price (p/kWh),Asset_load,New_asset_load,New_asset_load_rolling,Carbon Intensity,Carbon Optimised Emission,Carbon Unoptimised Emission,Carbon Optimised Cost Savings,Price Optimised Cost,Price Unoptimised Cost,Price Optimised Emission Savings
1717389000,14.89,7.44,1,1,,220.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717390800,16.8,8.3,1,0,,215.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717392600,18.88,9.23,1,1,,210.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717394400,20.68,10.04,1,1,,207.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717396200,24.57,11.78,1,1,,194.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717398000,19.74,9.62,1,1,,182.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717399800,20.16,9.8,1,1,,189.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717401600,18.27,8.96,1,1,,187.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717403400,17.14,8.45,1,1,,174.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717405200,18.14,8.9,1,1,,177.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717407000,18.06,8.86,1,1,,187.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717408800,17.22,8.49,1,0,,193.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717410600,16.53,8.18,1,1,,186.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717412400,16.51,8.17,1,1,,196.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717414200,15.75,7.83,1,1,,200.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717416000,15.33,7.64,1,1,,199.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717417800,15.12,7.55,1,1,,204.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717419600,15.12,7.55,1,1,,204.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717421400,14.53,7.28,1,1,,221.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717423200,15.09,7.53,1,1,,241.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717425000,15.98,7.93,1,1,,256.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717426800,30.2,13.99,1,0,,267.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717428600,31.96,14.78,1,1,,285.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717430400,34.92,16.1,1,1,,282.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717432200,33.6,15.51,1,1,,292.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717434000,36.71,16.9,1,1,,299.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717435800,35.91,16.54,1,1,,309.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717437600,24.78,11.87,1,1,,308.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717439400,23.52,11.31,1,1,,289.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717441200,23.31,11.21,1,1,,293.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717443000,22.87,11.02,1,1,,295.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717444800,21.63,10.46,1,0,,289.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717446600,19.8,9.64,1,1,,277.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717448400,19.49,9.5,1,1,,248.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717450200,17.64,8.68,1,1,,225.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717452000,18.69,9.15,1,1,,219.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717453800,20.16,9.8,1,1,,210.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717455600,17.91,8.8,1,1,,188.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717457400,17.6,8.66,1,1,,174.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717459200,17.3,8.53,1,1,,176.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717461000,16.97,8.38,1,1,0.9,169.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717462800,15.64,7.78,1,0,0.9,165.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717464600,14.28,7.17,1,1,0.9,169.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717466400,13.27,6.72,1,1,0.9,179.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717468200,11.97,6.14,1,1,0.9,177.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717470000,14.74,7.38,1,1,0.9,179.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717471800,13.65,6.89,1,1,0.9,183.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717473600,15.12,7.55,1,1,0.9,167.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717475400,15.6,7.76,1,1,0.9,169.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717477200,20.18,9.81,1,1,0.9,176.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717479000,23.1,11.12,1,1,0.9,171.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717480800,22.89,11.03,1,0,0.9,171.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717482600,25.43,12.16,1,1,0.9,160.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717484400,18.9,9.24,1,1,0.9,137.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717486200,17.77,8.73,1,1,0.9,122.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717488000,15.75,7.83,1,1,0.9,125.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717489800,14.38,7.22,1,1,0.9,123.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
